Municipios;Sexo;Periodo;Total
25021 Almenar;Total;2015;3.525
25022 Alòs de Balaguer;Total;2022;121
25022 Alòs de Balaguer;Total;2021;122
25022 Alòs de Balaguer;Total;2020;132
25022 Alòs de Balaguer;Total;2019;130
25022 Alòs de Balaguer;Total;2018;131
25022 Alòs de Balaguer;Total;2017;128
25022 Alòs de Balaguer;Total;2016;125
25022 Alòs de Balaguer;Total;2015;123
25023 Alpicat;Total;2022;6.333
25023 Alpicat;Total;2021;6.274
25023 Alpicat;Total;2020;6.266
25023 Alpicat;Total;2019;6.255
25023 Alpicat;Total;2018;6.230
25023 Alpicat;Total;2017;6.285
25023 Alpicat;Total;2016;6.233
25023 Alpicat;Total;2015;6.275
25024 Alt Àneu;Total;2022;441
25024 Alt Àneu;Total;2021;430
25024 Alt Àneu;Total;2020;414
25024 Alt Àneu;Total;2019;405
25024 Alt Àneu;Total;2018;406
25024 Alt Àneu;Total;2017;405
25024 Alt Àneu;Total;2016;402
25024 Alt Àneu;Total;2015;407
25027 Anglesola;Total;2022;1.350
25027 Anglesola;Total;2021;1.356
25027 Anglesola;Total;2020;1.365
25027 Anglesola;Total;2019;1.363
25027 Anglesola;Total;2018;1.328
25027 Anglesola;Total;2017;1.324
25027 Anglesola;Total;2016;1.335
25027 Anglesola;Total;2015;1.378
25029 Arbeca;Total;2022;2.100
25029 Arbeca;Total;2021;2.141
25029 Arbeca;Total;2020;2.126
25029 Arbeca;Total;2019;2.144
25029 Arbeca;Total;2018;2.162
25029 Arbeca;Total;2017;2.231
25029 Arbeca;Total;2016;2.240
25029 Arbeca;Total;2015;2.278
25031 Arres;Total;2022;61
25031 Arres;Total;2021;67
25031 Arres;Total;2020;60
25031 Arres;Total;2019;65
25031 Arres;Total;2018;63
25031 Arres;Total;2017;59
25031 Arres;Total;2016;64
25031 Arres;Total;2015;67
25032 Arsèguel;Total;2022;80
25032 Arsèguel;Total;2021;85
25032 Arsèguel;Total;2020;81
25032 Arsèguel;Total;2019;84
25032 Arsèguel;Total;2018;85
25032 Arsèguel;Total;2017;82
25032 Arsèguel;Total;2016;83
25032 Arsèguel;Total;2015;79
25033 Artesa de Lleida;Total;2022;1.505
25033 Artesa de Lleida;Total;2021;1.525
25033 Artesa de Lleida;Total;2020;1.535
25033 Artesa de Lleida;Total;2019;1.504
25033 Artesa de Lleida;Total;2018;1.538
25033 Artesa de Lleida;Total;2017;1.527
25033 Artesa de Lleida;Total;2016;1.512
25033 Artesa de Lleida;Total;2015;1.517
25034 Artesa de Segre;Total;2022;3.470
25034 Artesa de Segre;Total;2021;3.441
25034 Artesa de Segre;Total;2020;3.400
25034 Artesa de Segre;Total;2019;3.432
25034 Artesa de Segre;Total;2018;3.447
