Municipios;Sexo;Periodo;Total
43019 Ascó;Total;2020;1.644
43019 Ascó;Total;2019;1.660
43019 Ascó;Total;2018;1.674
43019 Ascó;Total;2017;1.690
43019 Ascó;Total;2016;1.695
43019 Ascó;Total;2015;1.682
43020 Banyeres del Penedès;Total;2022;3.271
43020 Banyeres del Penedès;Total;2021;3.280
43020 Banyeres del Penedès;Total;2020;3.207
43020 Banyeres del Penedès;Total;2019;3.170
43020 Banyeres del Penedès;Total;2018;3.128
43020 Banyeres del Penedès;Total;2017;3.121
43020 Banyeres del Penedès;Total;2016;3.091
43020 Banyeres del Penedès;Total;2015;3.103
43021 Barberà de la Conca;Total;2022;486
43021 Barberà de la Conca;Total;2021;472
43021 Barberà de la Conca;Total;2020;471
43021 Barberà de la Conca;Total;2019;473
43021 Barberà de la Conca;Total;2018;476
43021 Barberà de la Conca;Total;2017;477
43021 Barberà de la Conca;Total;2016;478
43021 Barberà de la Conca;Total;2015;505
43022 Batea;Total;2022;1.863
43022 Batea;Total;2021;1.879
43022 Batea;Total;2020;1.901
43022 Batea;Total;2019;1.890
43022 Batea;Total;2018;1.898
43022 Batea;Total;2017;1.938
43022 Batea;Total;2016;1.967
43022 Batea;Total;2015;1.945
43023 Bellmunt del Priorat;Total;2022;272
43023 Bellmunt del Priorat;Total;2021;281
43023 Bellmunt del Priorat;Total;2020;273
43023 Bellmunt del Priorat;Total;2019;280
43023 Bellmunt del Priorat;Total;2018;300
43023 Bellmunt del Priorat;Total;2017;290
43023 Bellmunt del Priorat;Total;2016;296
43023 Bellmunt del Priorat;Total;2015;303
43024 Bellvei;Total;2022;2.346
43024 Bellvei;Total;2021;2.303
43024 Bellvei;Total;2020;2.237
43024 Bellvei;Total;2019;2.203
43024 Bellvei;Total;2018;2.190
43024 Bellvei;Total;2017;2.193
43024 Bellvei;Total;2016;2.190
43024 Bellvei;Total;2015;2.185
43025 Benifallet;Total;2022;739
43025 Benifallet;Total;2021;741
43025 Benifallet;Total;2020;723
43025 Benifallet;Total;2019;739
43025 Benifallet;Total;2018;714
43025 Benifallet;Total;2017;721
43025 Benifallet;Total;2016;708
43025 Benifallet;Total;2015;717
43026 Benissanet;Total;2022;1.169
43026 Benissanet;Total;2021;1.129
43026 Benissanet;Total;2020;1.140
43026 Benissanet;Total;2019;1.161
43026 Benissanet;Total;2018;1.142
43026 Benissanet;Total;2017;1.172
43026 Benissanet;Total;2016;1.218
43026 Benissanet;Total;2015;1.251
43027 Bisbal de Falset, La;Total;2022;219
43027 Bisbal de Falset, La;Total;2021;218
43027 Bisbal de Falset, La;Total;2020;211
43027 Bisbal de Falset, La;Total;2019;216
43027 Bisbal de Falset, La;Total;2018;219
43027 Bisbal de Falset, La;Total;2017;217
43027 Bisbal de Falset, La;Total;2016;208
43027 Bisbal de Falset, La;Total;2015;221
43028 Bisbal del Penedès, La;Total;2022;4.062
43028 Bisbal del Penedès, La;Total;2021;3.830
43028 Bisbal del Penedès, La;Total;2020;3.631
43028 Bisbal del Penedès, La;Total;2019;3.528
43028 Bisbal del Penedès, La;Total;2018;3.464
43028 Bisbal del Penedès, La;Total;2017;3.460
43028 Bisbal del Penedès, La;Total;2016;3.466
43028 Bisbal del Penedès, La;Total;2015;3.474
43029 Blancafort;Total;2022;394
43029 Blancafort;Total;2021;398
43029 Blancafort;Total;2020;382
