Municipios;Distritos;Secciones;Indicadores de renta media y mediana;Periodo;Total
43015 Arbolí;;;Renta neta media por hogar;2018;32.404
43015 Arbolí;;;Renta neta media por hogar;2017;32.456
43015 Arbolí;;;Renta neta media por hogar;2016;43.265
43015 Arbolí;;;Renta neta media por hogar;2015;36.340
43016 Arboç, L';;;Renta neta media por hogar;2020;31.316
43016 Arboç, L';;;Renta neta media por hogar;2019;31.180
43016 Arboç, L';;;Renta neta media por hogar;2018;30.591
43016 Arboç, L';;;Renta neta media por hogar;2017;29.117
43016 Arboç, L';;;Renta neta media por hogar;2016;28.091
43016 Arboç, L';;;Renta neta media por hogar;2015;27.099
43017 Argentera, L';;;Renta neta media por hogar;2020;39.849
43017 Argentera, L';;;Renta neta media por hogar;2019;36.782
43017 Argentera, L';;;Renta neta media por hogar;2018;34.491
43017 Argentera, L';;;Renta neta media por hogar;2017;34.881
43017 Argentera, L';;;Renta neta media por hogar;2016;31.896
43017 Argentera, L';;;Renta neta media por hogar;2015;31.961
43018 Arnes;;;Renta neta media por hogar;2020;27.575
43018 Arnes;;;Renta neta media por hogar;2019;25.939
43018 Arnes;;;Renta neta media por hogar;2018;24.968
43018 Arnes;;;Renta neta media por hogar;2017;23.516
43018 Arnes;;;Renta neta media por hogar;2016;23.290
43018 Arnes;;;Renta neta media por hogar;2015;22.402
43019 Ascó;;;Renta neta media por hogar;2020;37.485
43019 Ascó;;;Renta neta media por hogar;2019;37.256
43019 Ascó;;;Renta neta media por hogar;2018;38.363
43019 Ascó;;;Renta neta media por hogar;2017;37.885
43019 Ascó;;;Renta neta media por hogar;2016;36.756
43019 Ascó;;;Renta neta media por hogar;2015;37.648
43020 Banyeres del Penedès;;;Renta neta media por hogar;2020;35.345
43020 Banyeres del Penedès;;;Renta neta media por hogar;2019;34.835
43020 Banyeres del Penedès;;;Renta neta media por hogar;2018;33.616
43020 Banyeres del Penedès;;;Renta neta media por hogar;2017;32.395
43020 Banyeres del Penedès;;;Renta neta media por hogar;2016;31.064
43020 Banyeres del Penedès;;;Renta neta media por hogar;2015;29.876
43021 Barberà de la Conca;;;Renta neta media por hogar;2020;27.322
43021 Barberà de la Conca;;;Renta neta media por hogar;2019;28.796
43021 Barberà de la Conca;;;Renta neta media por hogar;2018;29.663
43021 Barberà de la Conca;;;Renta neta media por hogar;2017;28.569
43021 Barberà de la Conca;;;Renta neta media por hogar;2016;27.123
43021 Barberà de la Conca;;;Renta neta media por hogar;2015;26.841
43022 Batea;;;Renta neta media por hogar;2020;27.088
43022 Batea;;;Renta neta media por hogar;2019;26.603
43022 Batea;;;Renta neta media por hogar;2018;25.270
43022 Batea;;;Renta neta media por hogar;2017;24.935
43022 Batea;;;Renta neta media por hogar;2016;23.229
43022 Batea;;;Renta neta media por hogar;2015;23.824
43023 Bellmunt del Priorat;;;Renta neta media por hogar;2020;24.224
43023 Bellmunt del Priorat;;;Renta neta media por hogar;2019;24.409
43023 Bellmunt del Priorat;;;Renta neta media por hogar;2018;23.690
43023 Bellmunt del Priorat;;;Renta neta media por hogar;2017;21.969
43023 Bellmunt del Priorat;;;Renta neta media por hogar;2016;21.565
43023 Bellmunt del Priorat;;;Renta neta media por hogar;2015;21.287
43024 Bellvei;;;Renta neta media por hogar;2020;30.700
43024 Bellvei;;;Renta neta media por hogar;2019;30.511
43024 Bellvei;;;Renta neta media por hogar;2018;28.074
43024 Bellvei;;;Renta neta media por hogar;2017;27.771
43024 Bellvei;;;Renta neta media por hogar;2016;26.486
43024 Bellvei;;;Renta neta media por hogar;2015;25.680
