Municipios;Sexo;Periodo;Total
17023 Blanes;Total;2019;39.028
17023 Blanes;Total;2018;38.790
17023 Blanes;Total;2017;38.813
17023 Blanes;Total;2016;39.060
17023 Blanes;Total;2015;39.132
17029 Boadella i les Escaules;Total;2022;258
17029 Boadella i les Escaules;Total;2021;271
17029 Boadella i les Escaules;Total;2020;272
17029 Boadella i les Escaules;Total;2019;252
17029 Boadella i les Escaules;Total;2018;269
17029 Boadella i les Escaules;Total;2017;267
17029 Boadella i les Escaules;Total;2016;266
17029 Boadella i les Escaules;Total;2015;261
17024 Bolvir;Total;2022;518
17024 Bolvir;Total;2021;489
17024 Bolvir;Total;2020;375
17024 Bolvir;Total;2019;369
17024 Bolvir;Total;2018;383
17024 Bolvir;Total;2017;380
17024 Bolvir;Total;2016;375
17024 Bolvir;Total;2015;380
17025 Bordils;Total;2022;1.815
17025 Bordils;Total;2021;1.796
17025 Bordils;Total;2020;1.761
17025 Bordils;Total;2019;1.779
17025 Bordils;Total;2018;1.701
17025 Bordils;Total;2017;1.693
17025 Bordils;Total;2016;1.680
17025 Bordils;Total;2015;1.710
17026 Borrassà;Total;2022;776
17026 Borrassà;Total;2021;752
17026 Borrassà;Total;2020;733
17026 Borrassà;Total;2019;714
17026 Borrassà;Total;2018;702
17026 Borrassà;Total;2017;715
17026 Borrassà;Total;2016;711
17026 Borrassà;Total;2015;711
17027 Breda;Total;2022;3.842
17027 Breda;Total;2021;3.836
17027 Breda;Total;2020;3.762
17027 Breda;Total;2019;3.740
17027 Breda;Total;2018;3.733
17027 Breda;Total;2017;3.740
17027 Breda;Total;2016;3.722
17027 Breda;Total;2015;3.728
17028 Brunyola i Sant Martí Sapresa;Total;2022;388
17028 Brunyola i Sant Martí Sapresa;Total;2021;390
17028 Brunyola i Sant Martí Sapresa;Total;2020;389
17028 Brunyola i Sant Martí Sapresa;Total;2019;383
17028 Brunyola i Sant Martí Sapresa;Total;2018;369
17028 Brunyola i Sant Martí Sapresa;Total;2017;369
17028 Brunyola i Sant Martí Sapresa;Total;2016;375
17028 Brunyola i Sant Martí Sapresa;Total;2015;394
17031 Cabanelles;Total;2022;279
17031 Cabanelles;Total;2021;266
17031 Cabanelles;Total;2020;267
17031 Cabanelles;Total;2019;279
17031 Cabanelles;Total;2018;273
17031 Cabanelles;Total;2017;265
17031 Cabanelles;Total;2016;257
17031 Cabanelles;Total;2015;237
17030 Cabanes;Total;2022;949
17030 Cabanes;Total;2021;941
17030 Cabanes;Total;2020;968
17030 Cabanes;Total;2019;948
17030 Cabanes;Total;2018;944
17030 Cabanes;Total;2017;903
17030 Cabanes;Total;2016;915
17030 Cabanes;Total;2015;931
17032 Cadaqués;Total;2022;2.889
17032 Cadaqués;Total;2021;2.820
17032 Cadaqués;Total;2020;2.695
17032 Cadaqués;Total;2019;2.712
17032 Cadaqués;Total;2018;2.752
17032 Cadaqués;Total;2017;2.794
17032 Cadaqués;Total;2016;2.837
17032 Cadaqués;Total;2015;2.840
17033 Caldes de Malavella;Total;2022;8.196
17033 Caldes de Malavella;Total;2021;8.051
17033 Caldes de Malavella;Total;2020;7.872
17033 Caldes de Malavella;Total;2019;7.641
17033 Caldes de Malavella;Total;2018;7.458
17033 Caldes de Malavella;Total;2017;7.351
17033 Caldes de Malavella;Total;2016;7.220
17033 Caldes de Malavella;Total;2015;7.166
17034 Calonge i Sant Antoni;Total;2022;11.712
17034 Calonge i Sant Antoni;Total;2021;11.484
17034 Calonge i Sant Antoni;Total;2020;11.331
17034 Calonge i Sant Antoni;Total;2019;11.092
17034 Calonge i Sant Antoni;Total;2018;10.897
17034 Calonge i Sant Antoni;Total;2017;10.804
17034 Calonge i Sant Antoni;Total;2016;10.709
17034 Calonge i Sant Antoni;Total;2015;10.520
17035 Camós;Total;2022;715
17035 Camós;Total;2021;711
17035 Camós;Total;2020;677
17035 Camós;Total;2019;693
17035 Camós;Total;2018;690
17035 Camós;Total;2017;687
17035 Camós;Total;2016;683
17035 Camós;Total;2015;683
17036 Campdevànol;Total;2022;3.217
17036 Campdevànol;Total;2021;3.225
17036 Campdevànol;Total;2020;3.232
17036 Campdevànol;Total;2019;3.223
17036 Campdevànol;Total;2018;3.204
17036 Campdevànol;Total;2017;3.243
17036 Campdevànol;Total;2016;3.314
17036 Campdevànol;Total;2015;3.352
17037 Campelles;Total;2022;162
17037 Campelles;Total;2021;149
17037 Campelles;Total;2020;140
17037 Campelles;Total;2019;139
17037 Campelles;Total;2018;133
17037 Campelles;Total;2017;135
17037 Campelles;Total;2016;137
17037 Campelles;Total;2015;127
17038 Campllong;Total;2022;535
17038 Campllong;Total;2021;533
17038 Campllong;Total;2020;537
17038 Campllong;Total;2019;547
17038 Campllong;Total;2018;535
17038 Campllong;Total;2017;525
17038 Campllong;Total;2016;516
17038 Campllong;Total;2015;499
17039 Camprodon;Total;2022;2.469
17039 Camprodon;Total;2021;2.435
17039 Camprodon;Total;2020;2.298
17039 Camprodon;Total;2019;2.281
17039 Camprodon;Total;2018;2.261
17039 Camprodon;Total;2017;2.214
17039 Camprodon;Total;2016;2.221
17039 Camprodon;Total;2015;2.299
17040 Canet d'Adri;Total;2022;750
17040 Canet d'Adri;Total;2021;749
17040 Canet d'Adri;Total;2020;729
17040 Canet d'Adri;Total;2019;723
17040 Canet d'Adri;Total;2018;708
17040 Canet d'Adri;Total;2017;703
17040 Canet d'Adri;Total;2016;702
17040 Canet d'Adri;Total;2015;671
17041 Cantallops;Total;2022;330
17041 Cantallops;Total;2021;305
17041 Cantallops;Total;2020;309
17041 Cantallops;Total;2019;313
17041 Cantallops;Total;2018;313
17041 Cantallops;Total;2017;322
17041 Cantallops;Total;2016;317
17041 Cantallops;Total;2015;328
17042 Capmany;Total;2022;672
17042 Capmany;Total;2021;618
17042 Capmany;Total;2020;611
17042 Capmany;Total;2019;613
17042 Capmany;Total;2018;613
17042 Capmany;Total;2017;623
17042 Capmany;Total;2016;596
17042 Capmany;Total;2015;590
17044 Cassà de la Selva;Total;2022;10.680
17044 Cassà de la Selva;Total;2021;10.505
17044 Cassà de la Selva;Total;2020;10.410
17044 Cassà de la Selva;Total;2019;10.380
17044 Cassà de la Selva;Total;2018;10.359
17044 Cassà de la Selva;Total;2017;10.231
17044 Cassà de la Selva;Total;2016;10.025
17044 Cassà de la Selva;Total;2015;10.030
17046 Castellfollit de la Roca;Total;2022;926
17046 Castellfollit de la Roca;Total;2021;939
17046 Castellfollit de la Roca;Total;2020;947
17046 Castellfollit de la Roca;Total;2019;961
17046 Castellfollit de la Roca;Total;2018;956
17046 Castellfollit de la Roca;Total;2017;951
17046 Castellfollit de la Roca;Total;2016;970
17046 Castellfollit de la Roca;Total;2015;992
17047 Castelló d'Empúries;Total;2022;11.611
17047 Castelló d'Empúries;Total;2021;11.154
17047 Castelló d'Empúries;Total;2020;11.100
17047 Castelló d'Empúries;Total;2019;10.906
17047 Castelló d'Empúries;Total;2018;10.820
17047 Castelló d'Empúries;Total;2017;10.791
17047 Castelló d'Empúries;Total;2016;10.784
17047 Castelló d'Empúries;Total;2015;10.870
17048 Castell-Platja d'Aro;Total;2022;11.757
17048 Castell-Platja d'Aro;Total;2021;11.455
17048 Castell-Platja d'Aro;Total;2020;11.030
17048 Castell-Platja d'Aro;Total;2019;10.860
17048 Castell-Platja d'Aro;Total;2018;10.585
17048 Castell-Platja d'Aro;Total;2017;10.593
17048 Castell-Platja d'Aro;Total;2016;10.567
17048 Castell-Platja d'Aro;Total;2015;10.589
17189 Cellera de Ter, La;Total;2022;1.967
17189 Cellera de Ter, La;Total;2021;1.973
17189 Cellera de Ter, La;Total;2020;1.950
17189 Cellera de Ter, La;Total;2019;1.946
17189 Cellera de Ter, La;Total;2018;1.976
17189 Cellera de Ter, La;Total;2017;2.006
17189 Cellera de Ter, La;Total;2016;2.054
17189 Cellera de Ter, La;Total;2015;2.071
17049 Celrà;Total;2022;5.503
17049 Celrà;Total;2021;5.606
17049 Celrà;Total;2020;5.561
17049 Celrà;Total;2019;5.452
17049 Celrà;Total;2018;5.390
17049 Celrà;Total;2017;5.376
17049 Celrà;Total;2016;5.303
17049 Celrà;Total;2015;5.155
17050 Cervià de Ter;Total;2022;999
17050 Cervià de Ter;Total;2021;973
17050 Cervià de Ter;Total;2020;966
17050 Cervià de Ter;Total;2019;968
17050 Cervià de Ter;Total;2018;948
17050 Cervià de Ter;Total;2017;923
17050 Cervià de Ter;Total;2016;916
17050 Cervià de Ter;Total;2015;926
17051 Cistella;Total;2022;307
17051 Cistella;Total;2021;282
17051 Cistella;Total;2020;282
17051 Cistella;Total;2019;282
17051 Cistella;Total;2018;300
17051 Cistella;Total;2017;304
17051 Cistella;Total;2016;293
17051 Cistella;Total;2015;303
17054 Colera;Total;2022;468
17054 Colera;Total;2021;462
17054 Colera;Total;2020;445
17054 Colera;Total;2019;448
17054 Colera;Total;2018;465
17054 Colera;Total;2017;481
17054 Colera;Total;2016;522
17054 Colera;Total;2015;533
17055 Colomers;Total;2022;204
17055 Colomers;Total;2021;188
17055 Colomers;Total;2020;174
17055 Colomers;Total;2019;176
17055 Colomers;Total;2018;176
17055 Colomers;Total;2017;179
17055 Colomers;Total;2016;188
17055 Colomers;Total;2015;189
17057 Corçà;Total;2022;1.268
17057 Corçà;Total;2021;1.275
17057 Corçà;Total;2020;1.268
17057 Corçà;Total;2019;1.267
17057 Corçà;Total;2018;1.253
17057 Corçà;Total;2017;1.245
17057 Corçà;Total;2016;1.249
17057 Corçà;Total;2015;1.244
17056 Cornellà del Terri;Total;2022;2.407
17056 Cornellà del Terri;Total;2021;2.422
17056 Cornellà del Terri;Total;2020;2.399
17056 Cornellà del Terri;Total;2019;2.364
