Municipios;Distritos;Secciones;Indicadores de renta media y mediana;Periodo;Total
25016 Alguaire;;;Renta neta media por hogar;2017;30.093
25016 Alguaire;;;Renta neta media por hogar;2016;29.814
25016 Alguaire;;;Renta neta media por hogar;2015;29.441
25017 Alins;;;Renta neta media por hogar;2020;32.950
25017 Alins;;;Renta neta media por hogar;2019;31.927
25017 Alins;;;Renta neta media por hogar;2018;29.251
25017 Alins;;;Renta neta media por hogar;2017;20.735
25017 Alins;;;Renta neta media por hogar;2016;20.143
25017 Alins;;;Renta neta media por hogar;2015;19.987
25019 Almacelles;;;Renta neta media por hogar;2020;32.467
25019 Almacelles;;;Renta neta media por hogar;2019;31.016
25019 Almacelles;;;Renta neta media por hogar;2018;29.764
25019 Almacelles;;;Renta neta media por hogar;2017;28.444
25019 Almacelles;;;Renta neta media por hogar;2016;27.295
25019 Almacelles;;;Renta neta media por hogar;2015;27.307
25020 Almatret;;;Renta neta media por hogar;2020;29.515
25020 Almatret;;;Renta neta media por hogar;2019;29.164
25020 Almatret;;;Renta neta media por hogar;2018;26.527
25020 Almatret;;;Renta neta media por hogar;2017;26.066
25020 Almatret;;;Renta neta media por hogar;2016;25.538
25020 Almatret;;;Renta neta media por hogar;2015;27.210
25021 Almenar;;;Renta neta media por hogar;2020;33.233
25021 Almenar;;;Renta neta media por hogar;2019;32.065
25021 Almenar;;;Renta neta media por hogar;2018;30.789
25021 Almenar;;;Renta neta media por hogar;2017;28.742
25021 Almenar;;;Renta neta media por hogar;2016;28.503
25021 Almenar;;;Renta neta media por hogar;2015;28.302
25022 Alòs de Balaguer;;;Renta neta media por hogar;2020;30.125
25022 Alòs de Balaguer;;;Renta neta media por hogar;2019;30.220
25022 Alòs de Balaguer;;;Renta neta media por hogar;2018;28.911
25022 Alòs de Balaguer;;;Renta neta media por hogar;2017;27.892
25022 Alòs de Balaguer;;;Renta neta media por hogar;2016;29.022
25022 Alòs de Balaguer;;;Renta neta media por hogar;2015;27.362
25023 Alpicat;;;Renta neta media por hogar;2020;48.005
25023 Alpicat;;;Renta neta media por hogar;2019;46.817
25023 Alpicat;;;Renta neta media por hogar;2018;44.316
25023 Alpicat;;;Renta neta media por hogar;2017;41.621
25023 Alpicat;;;Renta neta media por hogar;2016;40.951
25023 Alpicat;;;Renta neta media por hogar;2015;40.047
25024 Alt Àneu;;;Renta neta media por hogar;2020;40.119
25024 Alt Àneu;;;Renta neta media por hogar;2019;37.254
25024 Alt Àneu;;;Renta neta media por hogar;2018;36.405
25024 Alt Àneu;;;Renta neta media por hogar;2017;34.460
25024 Alt Àneu;;;Renta neta media por hogar;2016;30.699
25024 Alt Àneu;;;Renta neta media por hogar;2015;29.173
25025 Naut Aran;;;Renta neta media por hogar;2020;41.364
25025 Naut Aran;;;Renta neta media por hogar;2019;38.336
25025 Naut Aran;;;Renta neta media por hogar;2018;34.898
25025 Naut Aran;;;Renta neta media por hogar;2017;34.346
25025 Naut Aran;;;Renta neta media por hogar;2016;34.368
25025 Naut Aran;;;Renta neta media por hogar;2015;32.980
25027 Anglesola;;;Renta neta media por hogar;2020;32.706
25027 Anglesola;;;Renta neta media por hogar;2019;33.123
25027 Anglesola;;;Renta neta media por hogar;2018;31.184
